英語,学年,品詞,意味
Thank you［Thanks］for ....,2,連,…をありがとう。
again and again,2,連,何度も何度も
from now on,2,連,これからは、今後は
"Sincerely (yours),",2,連,（手紙の結びで）敬具
flour,2,名,小麦粉
cabbage,2,名,キャベツ
crispy,2,形,カリカリした
tasty,2,形,おいしい、味がよい
easily,2,副,簡単に、楽に、すぐに
ingredient,2,名,（料理などの）材料
reason,2,名,理由、根拠
of,2,前,【性質・特徴】…の
check,2,動,…を調べる、チェックする
however,2,副,しかしながら、けれども
easy,2,形,やさしい、簡単な
ago,2,副,（今から）…前に
timekeeping,2,名,時間の計測
ancient,2,形,古代の
Egyptian,2,名,エジプト人
put,2,動,putの過去形
put,2,動,…を置く、入れる、つける
stick,2,名,棒
shadow,2,名,影
told,2,動,tellの過去形
long ago,2,連,ずっと前に
some of,2,連,…のうちいくつか［いく人か］
about,2,副,およそ、約、…ごろ
some,2,代,いくらか、多少、少し、数人
measure,2,動,…をはかる
without,2,前,…なしで［に］
pot,2,名,つぼ、かめ
hole,2,名,穴
decrease,2,動,減る、減少する
line,2,名,線、電線、路線
fire,2,名,火、炎
burn,2,動,…を燃やす
candle,2,名,ろうそく
gave,2,動,giveの過去形
give,2,動,（～に）…を与える、渡す、もたらす
at night,2,連,夜に（は）
little by little,2,連,少しずつ
little by little,2,連,少しずつ
could,2,助,canの過去形。【能力・可能】…することができた
little,2,代,［little by littleで］少しずつ
other,2,形,ほかの、別の
mechanical,2,形,機械の
weight,2,名,重いもの、おもり
power,2,動,…に動力を供給する、…を動力で動かす
hour,2,名,時刻
bell,2,名,ベルや鈴、かね（の音）
heavy,2,形,重い
move,2,動,…を動かす
improve,2,動,…を改善する、上達させる
light,2,形,軽い
eventually,2,副,最後には、ようやく
began,2,動,beginの過去形
begin,2,動,…を始める
carry,2,動,…を（持ち）運ぶ、…を持っていく
begin to,2,連,…し始める
type,2,名,タイプ、種類
result,2,名,結果
invention,2,名,発明、発明品
effort,2,名,努力
even,2,副,…でさえ
recognize,2,動,（見たり聞いたりして）…とわかる、…を認識する
idea,2,名,考え、アイディア
technology,2,名,（科学）技術、テクノロジー
wisdom,2,名,知恵、英知
it is time to,2,連,…すべき時である
improve,2,動,よくなる、進歩する
homestay,2,名,ホームステイ
advice,2,名,忠告、助言
member,2,名,一員、メンバー
guest,2,名,客、泊まり客
follow,2,動,…に従う、…を守る
rule,2,名,規則、ルール
host,2,名,（招待した客をもてなす）主人（役）
perfect,2,形,完全な、完ぺきな、最適な
have to ,2,連,…しなければならない
don’t [doesn’t] have to,2,連,…しなくてよい
host family ,2,連,ホストファミリー［ホームステイ先の家族］
ask,2,動,（…を［に］）たずねる、質問する
must,2,助,…しなければならない
shower,2,名,シャワー
limit,2,名,限界、限度、制限
mustn’t,2,短,must not
must not,2,連,…してはいけない
elderly,2,形,年配の
couple,2,名,夫婦
living room,2,名,居間、リビングルーム
finish,2,動,…を終える
nothing,2,代,何も…ない
should,2,助,…すべきである
plate,2,名,（浅い）取り皿
hurt,2,動,…を傷つける
feeling,2,名,感情、気持ち
go to bed,2,連,床につく、寝る
after,2,接,…したあとで
much,2,形,［数えられない名詞につけて］多くの、多量の
much,2,代,多量、たくさん
answer,2,動,…に答える
enter,2,動,（場所）に入る
explain,2,動,…を説明する
felt,2,動,feelの過去分詞
feel,2,動,…と感じる、気持ちがする
end,2,名,（期間、行為などの）終わり、最後
kept,2,動,keepの過去形
keep,2,動,［keep ...ingで］…し続ける
carefully,2,副,注意深く
take off,2,連,（服など）を脱ぐ
feel like ...ing,2,連,…したい気がする
in the end,2,連,結局
each other,2,連,たがい（に）
keep ...ing,2,連,…し続ける
in the future ,2,連,未来に、将来に
couldn’t,2,短,could not
listen to,2,連,…を聞く
felt,2,動,feelの過去形
get,2,動,着く、到着する
near,2,形,近い、近くの
off,2,副,脱いで
other,2,代,別の人［もの］、ほかの人［もの］
Mrs.,2,名,［結婚している女性をさして］…さん、先生
precious,2,形,貴重な、大切な
able,2,形,［be able toで］ …することができる
be able to,2,連,…することができる
"Best wishes,",2,連,それでは。［手紙の結びの言葉］
wish,2,名,祝福の言葉、祈り
universal,2,形,全ての人々の
design,2,名,デザイン
fair,2,名,博覧会、フェア
bottle,2,名,びん、ボトル
automatic,2,形,（機械などが）自動式の、機械的な、無意識の
adjustable,2,形,調節可能な
public,2,形,公の、公共の
touch,2,動,…にさわる、ふれる
product,2,名,製品
facility,2,名,施設、設備
city hall,2,名,市役所
how to,2,連,…する方法、どう…するか
staff,2,名,職員、従業員
tap,2,動,…を軽くたたく、トントン［コツコツ］たたく
castanets,2,名,［複数あつかい］カスタネット
both,2,接,［both ... and ～で］…も～も両方
left-handed,2,形,左利きの、左利き用の
right-handed,2,形,右利きの、右利き用の
over here,2,連,こちらに、こちらでは
thanks to,2,連,…のおかげで
over,2,副,向こうへ、あちらへ、こちらへ
paper,2,名,紙、用紙
useful,2,形,役に立つ、有用な
sign,2,名,標識、看板、掲示
young,2,形,若い、幼い
ramp,2,名,スロープ
stair,2,名,［stairsで］階段
wheelchair,2,名,車いす
pull,2,動,…をひく、ひっぱる
baggage,2,名,（旅行者の）手荷物
baby,2,名,赤ん坊
presentation,2,名,発表、プレゼンテーション
next,2,副,次に、今度は
sure,2,形,確信して
American,2,形,アメリカの、アメリカ人の
professor,2,名,教授
childhood,2,名,子供のころ
remove,2,動,…を取り除く
barrier,2,名,壁、障壁
disabled,2,形,体の不自由な
regardless,2,副,何があっても、とにかく、（困難・忠告などに）おかまいなしに
ability,2,名,（…する）能力、…できること、才能
situation,2,名,立場、境遇、状況、情勢、場面
found,2,動,…を創立する
center,2,名,（活動などの）中心地、センター
spread,2,動,spreadの過去形
spread,2,動,…を広げる、広める
accessible,2,形,（…にとって）使いやすい、（…にとって）行きやすい
(1970)s,2,ー,（1970）年代
regardless of,2,連,…にかかわらず
trivia,2,名,雑学的な知識
quiz,2,名,クイズ
court,2,名,（テニス・バレーボールなどの）コート
than,2,接/前,…よりも
survey,2,名,調査
curling,2,名,カーリング
more,2,副,［比較級を作る］（～より）もっと…
strategy,2,名,戦略、作戦、計画、対策
skill,2,名,腕前、技術
most,2,副,［最上級を作る］いちばん…、最も…
answer,2,名,答え、返事
graph,2,名,グラフ、図表
according,2,副,［according toで］…によれば
percent,2,名,パーセント
such,2,形,そのような、このような
conclusion,2,名,結論、決定、結末、結び
half,2,名,半分、2分の1
better,2,副,［well、very muchの比較級］よりよく、より以上に
according to,2,連,…によれば
as for,2,連,…について言えば
... such as ～,2,連,～のような…
in conclusion,2,連,最後に、結論として
more than,2,連,…より多くの人［もの、こと］
as,2,前,…のような
best,2,副,［well、very muchの最上級］最もよく、いちばん（うまく）
find,2,動,…に気がつく、…がわかる
for,2,前,【関連】…については
more,2,形,［many、muchの比較級］もっと多くの
then,2,副,それから、その次に
as,2,接,【比較】～と同じくらい…［ふつうas ... as ～の形で用いられる。前のasは副詞］
feedback,2,名,意見、フィードバック
speaker,2,名,話す人、演説者
content,2,名,中身、内容
delivery,2,名,話しぶり
clear,2,形,はっきりした
contact,2,名,接触
comment,2,名,批評、コメント
topic,2,名,話題、トピック
spoke,2,動,speak の過去形
data,2,名,資料、データ
slide,2,名,（プレゼンテーション用の）スライド
letter,2,名,文字
eye contact,2,連,視線を合わすこと、アイコンタクト
goodbye,2,間,さようなら
shall,2,助,【提案・勧誘】［相手の意思をたずねて］Shall I ［we］...? …しましょうか。
direction,2,名,方向、方角
change trains,2,連,電車を乗りかえる
get to ,2,連,…に着く、到着する
change,2,動,（電車など）を乗りかえる
which,2,形,どちらの、どの
artificial,2,形,人工の、人工的な、人造の
turf,2,名,芝、芝地
field,2,名,競技場、（陸上競技の）フィールド
video,2,名,映像、動画
unique,2,形,特有の、独特な、ただ一つの、唯一の
almost,2,副,ほとんど
belong,2,動,［belong toで］…に所属する
clean up,2,連,きれいにそうじする
letter,2,名,手紙
once,2,副,かつて、以前、昔
poor,2,形,貧しい、かわいそうな
rich,2,形,金持ちの、裕福な
sell,2,動,…を売る
candy,2,名,キャンディー、砂糖菓子
door-to-door,2,副,戸別に、1 軒ずつ
earn,2,動,…をかせぐ
few,2,形,少しの
coin,2,名,硬貨、コイン
knock,2,動,ノックする、コツコツたたく
well-off,2,形,裕福な
herself,2,代,彼女自身、自ら
a glass of ,2,連,コップ1杯（の量）の
a few ,2,連,少数の、いくらかの
be about to,2,連,今にも…しようとしている
about,2,形,今にも…しかけていて
pocket,2,名,ポケット
reply,2,動,…と答える
pay,2,動,（代金などを）払う
kindness,2,名,親切、親切な行為
away,2,動,はなれて、去って
wonder,2,動,思いをめぐらす
hope,2,動,…を望む、…だとよいと思う
with a smile,2,連,にっこり笑って
do well,2,連,順調にやる、元気になる
before,2,接,…する前に、…しないうちに
before,2,副,以前に、かつて
better,2,形,［good、wellの比較級］もっとよい、よくなって
much,2,副,［形容詞・副詞の比較級・最上級を強調して］ずっと、はるかに
smile,2,名,ほほえみ、微笑
ill,2,形,病気で、ぐあい［気分］が悪い
sent,2,動,sendの過去形
send,2,動,（…に）～をおくる、（人）を行かせる
operation,2,名,手術
woke,2,動,wakeの過去形
alive,2,形,生きて、生きた状態で
envelope,2,名,封筒
bill,2,名,請求書
afraid,2,形,こわがって
inside,2,副,内側に、内部に
paid,2,形,支払い済みの
go by,2,連,（時間が）過ぎる、通り過ぎる
in front of ,2,連,…の前で［に］
right away,2,連,すぐに
be afraid to ,2,連,…するのがこわい
in full ,2,連,全部
here’s,2,短,here is
away,2,動,［right awayで］すぐに
full,2,名,完全
right,2,副,ちょうど、すぐに
say,2,動,…と書いてある、示している
select,2,動,…を選ぶ
heritage,2,名,（文化的な）遺産
site,2,名,遺跡
natural,2,形,自然の
cultural,2,形,文化の
mixed,2,形,混合した
selection,2,名,選択
standard,2,名,基準
decide,2,動,…を決める
general,2,形,一般的な、総合的な、全般的な
conference,2,名,会議、評議会
fantastic,2,形,すばらしい、すてきな
hometown,2,名,故郷
floral,2,形,花の
region,2,名,地方、地域
known,2,動,knowの過去分詞
plant,2,名,植物
diversity,2,名,（…の）多様性、相違（点）
species,2,名,（生物学上の）種［複数形もspecies］
found,2,動,findの過去分詞
more than,2,連,…より多い
built,2,動,buildの過去分詞
emperor,2,名,皇帝
wife,2,名,妻
architecture,2,名,建築、建築学、建築様式
cover,2,動,…をおおう、包む
marble,2,名,大理石
jewel,2,名,宝石
material,2,名,原料、材料、（服などの）生地
pollution,2,名,汚染、汚れ、（汚染による）公害、汚染物質
government,2,名,政府
protect,2,動,…を守る、保護する
in memory of,2,連,…を記念して
from far away ,2,連,遠くから
because of,2,連,…のために
of,2,前,【原因・動機】…のため、…で
list,2,動,…を（文化財のリストに）載せる
seen,2,動,seeの過去分詞
tourist,2,名,観光客、旅行者
climb,2,動,…に［を］のぼる
sunrise,2,名,日の出
cloud,2,名,雲
crater,2,名,噴火口、（隕石の衝突などによる地面の）穴、（月面の）クレーター
amount,2,名,量、額
trail,2,名,（通ってできた）小道
recently,2,副,最近、近ごろ
cleanup,2,名,大そうじ
campaign,2,名,キャンペーン
forever,2,副,永久に、永遠に
more and more,2,連,ますます（多くの）
a ... amount of ～,2,連,…の量の～
be,2,助,［受け身の形を作る］
left,2,動,leaveの過去分詞
of,2,前,【材料・要素】…で（作った）、…から（成る）
goods,2,名,商品、品物
size,2,名,サイズ、寸法
price,2,名,値段
medium,2,形,中くらいの、Mサイズの
clerk,2,名,店員、フロント係
customer,2,名,客、顧客
How much ...? ,2,連,…はいくらですか。
discussion,2,名,討論、話し合い
chosen,2,動,chooseの過去分詞
tourism,2,名,観光
industry,2,名,産業、工業、…業
develop,2,動,…を発展させる
against,2,前,…に反対して
increase,2,名,増加
cause,2,動,…の原因となる、…をひき起こす
traffic jam,2,名,交通渋滞
pollute,2,動,（水・空気など）を汚す、汚染する
environment,2,名,環境
therefore,2,副,それゆえに、したがって、だから
review,2,動,…を見直す
value,2,名,価値
destroy,2,動,…を破壊する
attract,2,動,（人）をひきつける
possible,2,形,（物事が）可能な、できる
point,2,名,特徴、論点、ポイント
agree,2,動,賛成する、意見が一致する
concern,2,動,（人）を心配させる
crime,2,名,罪、犯罪
due,2,形,［due toで］ …のために、…が原因で
be afraid of,2,連,…をおそれる
due to,2,連,…のために、…が原因で
be [become] concerned about,2,連,…について心配する［心配になる］
for,2,前,【支持】…に賛成して
may,2,助,【推量】…かもしれない、（たぶん）…だろう
increase,2,動,…を増やす、増大させる
with,2,前,【賛成】…に賛成して、味方して
planet,2,名,惑星
photograph,2,名,写真
university,2,名,大学
attracted,2,形,ひきつけられる
middle,2,名,中央、真ん中
wilderness,2,名,荒野
mayor,2,名,市長、町長、村長
invite,2,動,…を招待する、招く
dream,2,名,夢
true,2,形,本当の、真実の
in the middle of,2,連,…の真ん中に［の］
for himself ,2,連,自分で、独力で
come true,2,連,実現する、本当になる
change,2,動,…を変える
life,2,名,一生、人生
write,2,動,（…に）手紙を書く
among,2,前,…の中で［に、を］、…の間で［に、を］
convenience,2,名,便利なこと［もの］
hunt,2,動,…を狩る、狩りをする
gather,2,動,…を集める、…をつむ
berry,2,名,ベリー
tradition,2,名,伝統
harmoniously,2,副,調和して
understood,2,動,understandの過去形
living,2,形,生きている
share,2,動,…を共有する
became,2,動,becomeの過去形
part,2,名,部分、［part of で］…の一部
of,2,前,【同格】…という、…の
return,2,動,帰る、戻る
photographer,2,名,写真家
camp,2,動,キャンプをする
severe,2,形,厳しい
wild,2,形,野生の
lonely,2,形,ひとりぼっちの、さびしい
freedom,2,名,自由
playful,2,形,楽しげな、陽気な
scene,2,名,景色、光景
suddenly,2,副,突然、急に
kill,2,動,…を殺す
alone,2,副,ひとりで、ただ…だけ
end,2,動,終わる
free,2,形,自由な、束縛されない
wonder,2,名,驚き、不思議
glacier,2,名,氷河
disappear,2,動,姿を消す、消滅する
global warming,2,名,地球温暖化
enough,2,形,十分な、必要なだけの
habitat,2,名,生息地
grow,2,動,（しだいに）…になる
lose,2,動,…を失う
land,2,名,土地
island,2,名,島
slowly,2,副,ゆっくりと、遅く
twice,2,副,2倍、2度
rest,2,名,残り、その他
Earth,2,名,地球
remind,2,動,…に思い出させる、気づかせる
past,2,名,過去
pass,2,動,（…に）～を手渡す、…を伝える
beauty,2,名,美しさ、美
turn into,2,連,…になる、変わる
twice as ... as ～,2,連,～より2倍…
remind ... of ～,2,連,…に～を思い出させる
pass on ... to ～,2,連,…を～に伝える
as,2,接,【時】…のとき、…するにつれて
into,2,前,【質の変化】…に（なる）
way,2,名,方法、やり方
maple,3,名,カエデ
pure,3,形,純粋な
maple syrup,3,名,メープルシロップ
cream,3,名,クリーム
filling,3,名,中身
poutine,3,名,プーティン
Canadian,3,形,カナダの
gravy,3,名,肉汁
Quebec,3,名,ケベック州
food court,3,名,フードコート
annual,3,形,年に１回の
dream catcher,3,名,ドリームキャッチャー
handcrafted,3,形,手作りの
object,3,名,もの、物体
consist,3,動,（…から）成る
ring,3,名,輪
string,3,名,糸
feather,3,名,羽
bead,3,名,ビーズ
shell,3,名,貝
trap,3,動,…をとらえる
pine,3,名,松
export,3,動,…を輸出する
beloved,3,形,愛されている
available,3,形,入手できる
pack,3,動,…を詰め込む
pastime,3,名,娯楽
ice skate,3,名,アイススケート、アイススケートくつ
puck,3,名,パック（ゴムの円盤）
equipment,3,名,用具
flat,3,形,平らな
score,3,動,（点）をとる
goal,3,名,ゴール
lacrosse,3,名,ラクロス
crosse,3,名,クロス
shoot,3,動,…をシュートする
spiritual,3,形,神聖な
ritual,3,名,儀式
the First Nations,3,名,ファースト・ネーションズ
indigenous,3,形,先住の
men,3,名,manの複数形
sunset,3,名,日の入り
opportunity,3,名,機会
teen,3,名,１０代の若者
food bank,3,名,フード・バンク
core,3,名,中心
ensure,3,動,…を保証する
sort,3,動,…を分類する
warehouse,3,名,倉庫
dedicated,3,形,献身的な
distribute,3,動,…を分配する
client,3,名,依頼人
least,3,名,最少、最小
require,3,動,必要とする
youth,3,名,若者
riverbank,3,名,川岸
wetland,3,名,湿地帯
biologically,3,副,生物学的に
form,3,動,…を形成する
diverse,3,形,多様な
migratory,3,形,移住性の
gear,3,名,装備
bug spray,3,名,虫よけスプレー
provide,3,動,…を提供する
one-on-one,3,形,1対1の
difficulty,3,名,困難
supervision,3,名,指揮
guidance,3,名,助言
expect,3,動,…を期待する
leadership,3,名,リーダーシップ
problem-solving,3,名,課題解決
communication,3,名,コミュニケーション
management,3,名,管理
nursing home,3,名,介護施設
joy,3,名,喜び
formally,3,副,公式に
talent,3,名,才能
via,3,前,…を使って
transportation,3,名,交通機関
parking,3,名,駐車場
Malala Yousafzai,3,名,マララ・ユスフザイ[人名]
education,3,名,教育
pray,3,動,祈る
recovery,3,名,回復
shown,3,動,showの過去分詞
myself,3,代,私自身
Taliban,3,名,タリバーン
shot,3,動,…を撃つ
bullet,3,名,弾丸
silence,3,動,…を黙らせる
fail,3,動,失敗する
terrorist,3,名,テロリスト
extremist,3,名,過激論者
importance,3,名,重要性
darkness,3,名,暗さ、暗闇
Pakistan,3,名,パキスタン
wise,3,形,賢い、分別のある
mighty,3,形,力強い
sword,3,名,剣
frighten,3,形,こわがらせる
equality,3,名,平等
society,3,名,社会
upon,3,前,…の上に
compulsory,3,形,義務的な
terrorism,3,名,テロリズム
brutality,3,名,野蛮、残忍な行為
harm,3,名,危害
developed,3,形,発展した
nation,3,名,国家、国
expansion,3,名,拡大、広がり
educational,3,形,教育の、教育に関する
community,3,名,共同体
tolerant,3,形,寛容な、寛大な
reject,3,動,拒絶する
prejudice,3,名,偏見
million,3,名,100万
suffer,3,動,苦しむ、悩む
poverty,3,名,貧困
injustice,3,名,不公平、不正
ignorance,3,名,無知
struggle,3,名,戦い
illiteracy,3,名,無学、無教育
powerful,3,形,強力な
weapon,3,名,武器、兵器
solution,3,名,解決策
paste,3,名,ペースト、ペースト状のもの
cream puff,3,名,シュークリーム
French,3,形,フランスの
polo shirt,3,名,ポロシャツ
organic,3,形,自然な、化学肥料を用いないで育てた
cotton,3,名,綿
compare,3,動,…を比べる
grown,3,動,growの過去分詞
pesticide,3,名,農薬
linen,3,名,麻
stylish,3,形,おしゃれな、品のよい
fabric,3,名,布、生地
polyurethane,3,名,ポリウレタン
cacti,3,名,サボテン
cork,3,名,コルク
recycled,3,形,リサイクルされた
necklace,3,名,ネックレス
utilize,3,動,…を利用する、役立たせる
peregrine falcon,3,名,ハヤブサ
dugong,3,名,ジュゴン
Okinawa rail,3,名,ヤンバルクイナ
Asiatic black bear,3,名,ツキノワグマ
Blakiston's fish owl,3,名,シマフクロウ
green turtle,3,名,アオウミガメ
threat,3,名,脅し、脅威
loss,3,名,失うこと
drought,3,名,干ばつ
development,3,名,開発
illegal,3,形,違法の
over tourism,3,名,オーバーツーリズム
alien,3,形,外来の、外国の
vulnerable,3,形,危急
extinct,3,名,絶滅
retell,3,動,…を再び語る
captain,3,名,キャプテン
respectful,3,形,敬意を表す
Bill Gates,3,名,ビル・ゲイツ［人名］
founder,3,名,創設者
IT,3,略,情報技術、情報工学（information technologyの略）
model,3,名,モデル、模範
opinion,3,名,意見、考え
task,3,名,仕事
trust,3,動,…を信頼する
employee,3,名,従業員
cooperate,3,動,協力する
Emma Watson,3,名,エマ・ワトソン［人名］
well-known,3,形,有名な、よく知られた
film,3,名,映画
appoint,3,動,［appont ... as 〜で］…を〜に任命する
United Nations Women,3,名,国連女性機関
goodwill ambassador,3,名,親善大使
promote,3,動,…を促進する
gender,3,名,性別、性差
fair-trade,3,名,公正取引
humane,3,形,人間味のある、おもいやりのある
ideal,3,形,理想的な
hunger,3,名,飢餓
well-being,3,名,幸福、健康
sanitation,3,名,衛生
affordable,3,形,手ごろな
decent,3,形,適切な
economic,3,形,経済的な
growth,3,名,成長
innovation,3,名,革新
infrastructure,3,名,社会的基盤施設、インフラ
inequality,3,名,不平等
consumption,3,名,消費
production,3,名,生産
below,3,前,…より下に
justice,3,名,公正
institution,3,名,機関
partnership,3,名,パートナーシップ
oversleep,3,動,寝過ごす
feed,3,動,…にえさをやる
snack,3,名,スナック、軽食
video game,3,名,テレビゲーム
post,3,動,投稿する
phone,3,名,電話
pool,3,名,プール
cartoon,3,名,マンガ
cheerful,3,形,明るい
easygoing,3,形,おおらかな
talkative,3,形,おしゃべりな
gentle,3,形,温厚な
patient,3,形,がまん強い
strict,3,形,厳しい
generous,3,形,気前のよい
diligent,3,形,勤勉な
outgoing,3,形,社交的な
honest,3,形,正直な
impatient,3,形,せっかちな
frank,3,形,率直な
strange,3,形,風変わりな
lazy,3,形,不精な
serious,3,形,真面目な
selfish,3,形,わがままな
impressive,3,形,印象的な
so-so,3,形,よくも悪くもない
boring,3,形,退屈な
terrible,3,形,ひどい
relieved,3,形,安心した
upset,3,形,うろたえた
embarrassed,3,形,恥ずかしい
annoyed,3,形,いらいらした
disappointed,3,形,がっかりした
scared,3,形,おびえた、こわがった
opening,3,形,最初の
ceremony,3,名,儀式
closing,3,形,終わりの
midterm examination,3,名,中間試験
term,3,名,学期、期間
examination,3,名,試験
final,3,名,最後の
entrance examination,3,名,入学試験
physical checkup,3,名,健康診断
fire drill,3,名,消防訓練
student council,3,名,生徒会
arrangement,3,名,アレンジメント、配置
tea ceremony,3,名,茶道
calligraphy,3,名,書道
Buddha,3,名,仏
pottery,3,名,焼き物
Coming-of-Age Day,3,名,成人の日
National Foundation Day,3,名,建国記念の日
The Emperor's Birthday,3,名,天皇誕生日
The Vernal Equinox,3,名,春分
Constitution Day,3,名,憲法記念日
Greenery Day,3,名,みどりの日
Marine Day,3,名,海の日
Mountain Day,3,名,山の日
Respect-for-the-Aged Day,3,名,敬老の日
The Autumnal Equinox,3,名,秋分
Health-Sports Day,3,名,スポーツの日
Culture Day,3,名,文化の日
Labor Thanksgiving Day,3,名,勤労感謝の日
Argentina,3,名,アルゼンチン
Indonesia,3,名,インドネシア
Ukraine,3,名,ウクライナ
Australia,3,名,オーストラリア
Korea,3,名,韓国
Saudi Arabia,3,名,サウジアラビア
Spain,3,名,スペイン
Turkey,3,名,トルコ
France,3,名,フランス
Mexico,3,名,メキシコ
Russia,3,名,ロシア
Arabic,3,名,アラビア語
Italian,3,名,イタリア語
Indonesian,3,名,インドネシア語
Korean,3,名,韓国・朝鮮語
Spanish,3,名,スペイン語
German,3,名,ドイツ語
Turkish,3,名,トルコ語
Hindi,3,名,ヒンズー語
Russian,3,名,ロシア語
yellow dust,3,名,黄砂
flood,3,名,洪水
landslide,3,名,地すべり
typhoon,3,名,台風
tornado,3,名,竜巻
tidal wave,3,名,津波
eruption,3,名,噴火
storm,3,名,暴風
thunderstorm,3,名,雷雨
aftershock,3,名,余震
fire alarm,3,名,火災報知器
Earthquake Early Warning,3,名,緊急地震速報
emergency exit,3,名,非常口
evacuation,3,名,避難
emergency management,3,名,防災
environmental,3,形,環境の
destruction,3,名,破壊
protection,3,名,保護
greenhouse effect,3,名,温室効果
desertification,3,名,砂漠化
acid rain,3,名,酸性雨
deforestation,3,名,森林破壊
water pollution,3,名,水質汚染
oxygen,3,名,酸素
exhaust gas,3,名,排気ガス
thermal,3,形,熱の
recycling,3,名,リサイクル
food chain,3,名,食物連鎖
discover,3,動,…を発見する
side,3,名,側、面
finally,3,副,ついに、やっと
musical,3,名,ミュージカル
actor,3,名,俳優
into,3,前,…に熱中して
fashion,3,名,（服装・行動様式などの）人気のもの、ファッション
regional,3,形,地方の、地域の、局地的な、地方特有の
been,3,動/助,beの過去分詞
have never [not] been to,3,連,…に行ったことがない
have never [not] been to,3,連,…に行ったことがない
pop,3,形,大衆的な
foreigner,3,名,外国人
ever,3,副,［疑問文で］今まで、かつて
have been to,3,連,…に行ったことがある
have been to ,3,連,…に行ったことがある
I’ve,3,短,I have
haven’t,3,短,have not
hear,3,動,…を耳にする、聞いて知る
global,3,形,全世界の、世界的な、地球上の
genre,3,名,（ 文学・芸術作品などの）ジャンル、部門、分野
adventure,3,名,冒険、冒険心
adult,3,名,おとな、（法律上の）成人、成長した動物
quality,3,名,質、品質、良質
animation,3,名,アニメーション、動画
drawing,3,名,絵、図、スケッチ
delicate,3,形,上品な、優美な、繊細な
addition,3,名,足し算、加えること、加えられたもの［人］
match,3,動,…と調和する、…に匹敵する
positive,3,形,肯定の、前向きな
in addition,3,連,そのうえ、さらに
more,3,副,［動詞を修飾して］もっと
ignore,3,動,…を無視する、見て見ないふりをする
existence,3,名,存在すること、生存
root,3,名,［rootsで］起源
drawn,3,動,drawの過去分詞
express,3,動,…を表現する、言い表す
movement,3,名,動き
scroll,3,名,巻物、（日本・中国などの）掛け軸
technique,3,名,（芸術の）手法、テクニック
influence,3,動,…に影響を及ぼす
advantage,3,名,有利（であること）、有利な点、強み
taste,3,名,（飲食物の）味、味覚
link,3,動,…を（～と）つなぐ、連結する
entirely,3,副,全く、すっかり
It is said that ....,3,連,…であると言われている。
take advantage of,3,連,…を利用する
around,3,副,あちこち、めぐって
of,3,前,【行為の主体】…が、…の、…による
said,3,動,sayの過去分詞
already,3,副,すでに、もう
essay,3,名,随筆、評論、エッセー、（学校の）作文
yet,3,副,［疑問文で］もう、すでに
ethical,3,形,道義にかなった、道徳的な
designer,3,名,デザイナー、設計者
interview,3,動,…にインタビューする
message,3,名,伝言、メッセージ
sleep,3,動,眠る、寝ている
interview,3,名,インタビュー、取材、（公式の）会見、面接（試験）、面談
just,3,副,たった今
read,3,動,readの過去分詞
yet,3,副,［否定文で］まだ、今のところは
accessory,3,名,（車・カメラ・機械類の）付属品、（身につける）アクセサリー
recycle,3,動,（廃品）を再生利用する、リサイクルする
eco-friendly,3,形,環境にやさしい
become,3,動,becomeの過去分詞
impact,3,名,（強い）影響、衝撃、衝突
since,3,前/接,…（して）以来
introduce,3,動,…を導入する
How long ...?,3,連,どれくらい長く［長い］
design,3,動,…を設計する
made,3,動,makeの過去分詞
morally,3,副,道徳上、道徳的に見て、倫理的に、品行方正に
clothing,3,名,［単数あつかいで］衣類、衣料品
company,3,名,会社
chemical,3,名,化学物質
lead,3,動,（…に）通じる
less,3,形,もっと少ない
negative,3,形,否定的な、よくない
animal-free,3,形,（食品が）動物性原料を含んでいない
include,3,動,…を含む、含める
vegan,3,名,絶対菜食主義者（卵・チーズ・牛乳などをとらないベジタリアン）
leather,3,名,革、なめし革、革製品
avoid,3,動,…を避ける、よける
wool,3,名,羊毛、毛糸、毛織物、ウール
fur,3,名,毛皮、毛皮製品、毛皮の衣服、（ほ乳動物の）柔らかい毛
you’ve,3,短,you have
avoid ...ing,3,連,…することを避ける
vegan leather,3,連,ヴィーガンレザー（非動物性の材料で作られた素材）
use,3,名,使うこと、使用
moreover,3,副,なおそのうえに、さらに
worker,3,名,働く人、労働者
developing,3,形,発展途上の
condition,3,名,状況
wage,3,名,賃金、給料
working,3,形,［名詞の前に用いて］働く
fair,3,形,公平な、相当の
prohibit,3,動,（法律・規則などが）…を禁止する
labor,3,名,労働
responsible,3,形,（人が）（物事に対して）責任がある
what to,3,連,何を…すべきか
hour,3,名,（決まった）時間、勤務［営業］時間、授業時間
planet,3,名,［the planetで］地球
danger,3,名,危険（性）
extinction,3,名,絶滅
challenge,3,名,難問
human,3,形,人間の、人間的な
endangered,3,形,絶滅の危機にさらされている
survive,3,動,生き残る
trouble,3,名,困難、面倒、迷惑
be in danger of,3,連,…の危険がある、危険にさらされている
be,3,動,（…に）いる、ある
change,3,名,変化
for,3,前,［「It is ... （for ＋（人））＋ to ＋ 動詞の原形」の意味上の主語として］（人）が（～することは）
or,3,接,［主に命令文のあとで］そうしなければ
cheetah,3,名,チーター
sea otter,3,名,ラッコ
article,3,名,記事
hear of ,3,連,…について聞く
want ... to ～,3,連,…が～することを望む、…に～してほしい
heard,3,動,hearの過去分詞
