語句,単元名,意味
species,名,（生物学上の）種［複数形もspecies］
found,動,findの過去分詞
more than,連,…より多い
built,動,buildの過去分詞
emperor,名,皇帝
wife,名,妻
architecture,名,建築、建築学、建築様式
cover,動,…をおおう、包む
marble,名,大理石
jewel,名,宝石
material,名,原料、材料、（服などの）生地
pollution,名,汚染、汚れ、（汚染による）公害、汚染物質
government,名,政府
protect,動,…を守る、保護する
in memory of,連,…を記念して
from far away ,連,遠くから
because of,連,…のために
of,前,【原因・動機】…のため、…で
list,動,…を（文化財のリストに）載せる
seen,動,seeの過去分詞
tourist,名,観光客、旅行者
climb,動,…に［を］のぼる
sunrise,名,日の出
cloud,名,雲
crater,名,噴火口、（隕石の衝突などによる地面の）穴、（月面の）クレーター
amount,名,量、額
trail,名,（通ってできた）小道
recently,副,最近、近ごろ
cleanup,名,大そうじ
campaign,名,キャンペーン
forever,副,永久に、永遠に
more and more,連,ますます（多くの）
a ... amount of ～,連,…の量の～
be,助,［受け身の形を作る］
left,動,leaveの過去分詞
of,前,【材料・要素】…で（作った）、…から（成る）
goods,名,商品、品物
size,名,サイズ、寸法
price,名,値段
medium,形,中くらいの、Mサイズの
clerk,名,店員、フロント係
customer,名,客、顧客
How much ...? ,連,…はいくらですか。
discussion,名,討論、話し合い
chosen,動,chooseの過去分詞
tourism,名,観光
industry,名,産業、工業、…業
develop,動,…を発展させる
against,前,…に反対して
increase,名,増加
cause,動,…の原因となる、…をひき起こす
traffic jam,名,交通渋滞
pollute,動,（水・空気など）を汚す、汚染する
environment,名,環境
therefore,副,それゆえに、したがって、だから
review,動,…を見直す
value,名,価値
destroy,動,…を破壊する
attract,動,（人）をひきつける
possible,形,（物事が）可能な、できる
point,名,特徴、論点、ポイント
agree,動,賛成する、意見が一致する
concern,動,（人）を心配させる
crime,名,罪、犯罪
due,形,［due toで］ …のために、…が原因で
be afraid of,連,…をおそれる
due to,連,…のために、…が原因で
be [become] concerned about,連,…について心配する［心配になる］
for,前,【支持】…に賛成して
may,助,【推量】…かもしれない、（たぶん）…だろう
increase,動,…を増やす、増大させる
with,前,【賛成】…に賛成して、味方して
planet,名,惑星
photograph,名,写真
university,名,大学
attracted,形,ひきつけられる
middle,名,中央、真ん中
wilderness,名,荒野
mayor,名,市長、町長、村長
invite,動,…を招待する、招く
dream,名,夢
true,形,本当の、真実の
in the middle of,連,…の真ん中に［の］
for himself ,連,自分で、独力で
come true,連,実現する、本当になる
change,動,…を変える
life,名,一生、人生
write,動,（…に）手紙を書く
among,前,…の中で［に、を］、…の間で［に、を］
convenience,名,便利なこと［もの］
hunt,動,…を狩る、狩りをする
gather,動,…を集める、…をつむ
berry,名,ベリー
tradition,名,伝統
harmoniously,副,調和して
understood,動,understandの過去形
living,形,生きている
share,動,…を共有する
became,動,becomeの過去形
part,名,部分、［part of で］…の一部
of,前,【同格】…という、…の
return,動,帰る、戻る
photographer,名,写真家
camp,動,キャンプをする
severe,形,厳しい
wild,形,野生の
lonely,形,ひとりぼっちの、さびしい
freedom,名,自由
playful,形,楽しげな、陽気な
scene,名,景色、光景
suddenly,副,突然、急に
kill,動,…を殺す
alone,副,ひとりで、ただ…だけ
end,動,終わる
free,形,自由な、束縛されない
wonder,名,驚き、不思議
glacier,名,氷河
disappear,動,姿を消す、消滅する
global warming,名,地球温暖化
enough,形,十分な、必要なだけの
habitat,名,生息地
grow,動,（しだいに）…になる
lose,動,…を失う
land,名,土地
island,名,島
slowly,副,ゆっくりと、遅く
twice,副,2倍、2度
rest,名,残り、その他
Earth,名,地球
remind,動,…に思い出させる、気づかせる
past,名,過去
pass,動,（…に）～を手渡す、…を伝える
beauty,名,美しさ、美
turn into,連,…になる、変わる
twice as ... as ～,連,～より2倍…
remind ... of ～,連,…に～を思い出させる
pass on ... to ～,連,…を～に伝える
as,接,【時】…のとき、…するにつれて
into,前,【質の変化】…に（なる）
way,名,方法、やり方
discover,動,…を発見する
side,名,側、面
finally,副,ついに、やっと
musical,名,ミュージカル
actor,名,俳優
into,前,…に熱中して
fashion,名,（服装・行動様式などの）人気のもの、ファッション
regional,形,地方の、地域の、局地的な、地方特有の
been,動/助,beの過去分詞
have never [not] been to,連,…に行ったことがない
have never [not] been to,連,…に行ったことがない
pop,形,大衆的な
foreigner,名,外国人
ever,副,［疑問文で］今まで、かつて
have been to,連,…に行ったことがある
have been to ,連,…に行ったことがある
I’ve,短,I have
haven’t,短,have not
hear,動,…を耳にする、聞いて知る
global,形,全世界の、世界的な、地球上の
genre,名,（ 文学・芸術作品などの）ジャンル、部門、分野
adventure,名,冒険、冒険心
adult,名,おとな、（法律上の）成人、成長した動物
quality,名,質、品質、良質
animation,名,アニメーション、動画
drawing,名,絵、図、スケッチ
delicate,形,上品な、優美な、繊細な
addition,名,足し算、加えること、加えられたもの［人］
match,動,…と調和する、…に匹敵する
positive,形,肯定の、前向きな
in addition,連,そのうえ、さらに
more,副,［動詞を修飾して］もっと
ignore,動,…を無視する、見て見ないふりをする
existence,名,存在すること、生存
root,名,［rootsで］起源
drawn,動,drawの過去分詞
express,動,…を表現する、言い表す
movement,名,動き
scroll,名,巻物、（日本・中国などの）掛け軸
technique,名,（芸術の）手法、テクニック
influence,動,…に影響を及ぼす
advantage,名,有利（であること）、有利な点、強み
taste,名,（飲食物の）味、味覚
link,動,…を（～と）つなぐ、連結する
entirely,副,全く、すっかり
It is said that ....,連,…であると言われている。
take advantage of,連,…を利用する
around,副,あちこち、めぐって
of,前,【行為の主体】…が、…の、…による
said,動,sayの過去分詞
already,副,すでに、もう
essay,名,随筆、評論、エッセー、（学校の）作文
yet,副,［疑問文で］もう、すでに
ethical,形,道義にかなった、道徳的な
designer,名,デザイナー、設計者
interview,動,…にインタビューする
message,名,伝言、メッセージ
sleep,動,眠る、寝ている
interview,名,インタビュー、取材、（公式の）会見、面接（試験）、面談
just,副,たった今
read,動,readの過去分詞
yet,副,［否定文で］まだ、今のところは
accessory,名,（車・カメラ・機械類の）付属品、（身につける）アクセサリー
recycle,動,（廃品）を再生利用する、リサイクルする
eco-friendly,形,環境にやさしい
become,動,becomeの過去分詞
impact,名,（強い）影響、衝撃、衝突
since,前/接,…（して）以来
introduce,動,…を導入する
How long ...?,連,どれくらい長く［長い］
design,動,…を設計する
made,動,makeの過去分詞
morally,副,道徳上、道徳的に見て、倫理的に、品行方正に
clothing,名,［単数あつかいで］衣類、衣料品
company,名,会社
chemical,名,化学物質
lead,動,（…に）通じる
less,形,もっと少ない
negative,形,否定的な、よくない
animal-free,形,（食品が）動物性原料を含んでいない
include,動,…を含む、含める
vegan,名,絶対菜食主義者（卵・チーズ・牛乳などをとらないベジタリアン）
leather,名,革、なめし革、革製品
avoid,動,…を避ける、よける
wool,名,羊毛、毛糸、毛織物、ウール
fur,名,毛皮、毛皮製品、毛皮の衣服、（ほ乳動物の）柔らかい毛
you’ve,短,you have
avoid ...ing,連,…することを避ける
vegan leather,連,ヴィーガンレザー（非動物性の材料で作られた素材）
use,名,使うこと、使用
moreover,副,なおそのうえに、さらに
worker,名,働く人、労働者
developing,形,発展途上の
condition,名,状況
wage,名,賃金、給料
working,形,［名詞の前に用いて］働く
fair,形,公平な、相当の
prohibit,動,（法律・規則などが）…を禁止する
labor,名,労働
responsible,形,（人が）（物事に対して）責任がある
what to,連,何を…すべきか
hour,名,（決まった）時間、勤務［営業］時間、授業時間
planet,名,［the planetで］地球
danger,名,危険（性）
extinction,名,絶滅
challenge,名,難問
human,形,人間の、人間的な
endangered,形,絶滅の危機にさらされている
survive,動,生き残る
trouble,名,困難、面倒、迷惑
be in danger of,連,…の危険がある、危険にさらされている
be,動,（…に）いる、ある
change,名,変化
for,前,［「It is ... （for ＋（人））＋ to ＋ 動詞の原形」の意味上の主語として］（人）が（～することは）
or,接,［主に命令文のあとで］そうしなければ
cheetah,名,チーター
sea otter,名,ラッコ
article,名,記事
hear of ,連,…について聞く
want ... to ～,連,…が～することを望む、…に～してほしい
heard,動,hearの過去分詞
list,名,表、リスト
population,名,人口、（動物の）個体数
rapidly,副,速く、急速に
beginning,名,最初の部分
century,名,世紀、100年
shock,動,…に衝撃［ショック］をあたえる
safely,副,安全に
overhunting,名,乱獲
oil,名,油、石油
spill,名,（液体・粉などの）こぼれ、流出
hunting,名,狩り、さがし求めること
killer whale,名,シャチ
as a result (of),連,（…の）結果として
decide to,連,…しようと決心する
end,動,…を終える
increase,動,増える、増加する、増大する
let,動,（人）に…させる
native,形,（その土地に）固有の、原産の、生粋の
logging,名,伐採
traffic accident,名,交通事故
research,名,研究、調査
categorize,動,…を分類する、（…として）類別する
critically,副,危機的な、危険な状態で、危うく
citizen,名,市民
ecosystem,名,生態系
human being,名,人間（全体）
relate,動,…を（～に）関係させる
action,名,アクション、行動
decrease,名,（…の）減少
breed,動,…を飼育する、繁殖する
release,動,…を放す
reach,動,…に達する、到着する
nowadays,副,このごろは、今日では
continue,動,…を続ける
wild,名,［the wildで］野生
item,名,品目
piece,名,部分、断片
cloth,名,布、服地
wrap,動,…を包む
fold,動,…を折る、折りたたむ
convenient,形,便利な
instead,副,そのかわりに
resource,名,資源
a piece of,連,1つ［1個、1本、1枚］の…
fold ... up ,連,…を折りたたむ
instead of,連,…のかわりに
won’t,短,will not
keep,動,（ずっと）…を持っている、預かる
plastic bag,連,ビニール袋
waste,動,…をむだに使う
lullaby,名,子守歌
road,名,道路、道
bomb,名,爆弾
lost,動,loseの過去形
injure,動,…を傷つける
shade,名,陰、日陰
dead,形,死んだ
weak,形,弱い、かすかな
mommy,名,お母さん、ママ［momよりは幼い言い方］
cry,動,泣く
held,動,holdの過去形
hold,動,…を持つ、つかむ、抱く
real,形,本当の、本物の
all right,連,だいじょうぶな
some,副,［ 数を表す語とともに用いて］約、およそ
through,前,【時間】…の間中
burn,名,やけど
life,名,生命、命、生き物
rest,動,休む、眠る
right,形,健康な、調子がいい
tightly,副,しっかりと
while,名,（少しの）時間、（しばらくの）間
quietly,副,静かに、落ち着いて
after a while,連,しばらくして
move,動,動く、引っこす
nuclear,形,核の、原子力の
peace,名,平和
bright,形,明るい
cloudless,形,雲のない
death,名,死
sky,名,空、大空
U.S.,名,the U.S. アメリカ合衆国、米国
president,名,大統領
meant,動,meanの過去形
war,名,戦争
courage,名,勇気
pursue,動,…を追い求める
worth,形,…の価値がある
extend,動,…を広げる
go through ,連,（人生・生活）を送る
worth ...ing,連,…するだけの価値がある
himself,代,彼自身、自ら
word,名,語、単語、言葉
prepared,形,用意ができている、備えた
disaster,名,災害
shelter,名,避難所
store,動,…を蓄える
case,名,場合
extinguisher,名,消火器
in case of,連,…の場合には
call,動,（…に）電話をかける
fire,名,火事、火災
How much ...? ,連,どれくらいの量の
done,動,doの過去分詞
prepare,動,（…の）準備をする、備える
emergency,名,緊急事態
kit,名,道具［用具］一式
recommend,動,…をすすめる、…を推薦する
earthquake,名,地震
we’ve,短,we have
hasn’t,短,has not
link,名,リンク、接続
several,形,いくつかの
bridge,名,橋、かけ橋
between,前,［between ... and ～ で］…（と～）の間で［に、の］
energetic,形,精力的な、エネルギッシュな、活発な
encourage,動,…を勇気づける、励ます
personality,名,個性、性格、人格
hit,動,hitの過去形
hit,動,（災害・不幸などが）襲う
comfort,動,…を慰める、元気づける
nearby,形,近くの
safe,形,安全な
all the time,連,常に
kill,動,［be killed inで］…で死ぬ
rode,動,rideの過去形
bicycle,名,自転車
toward,前,…のほうへ、…に向かって
apartment,名,アパート［マンション］の部屋
caught,動,catchの過去形・過去分詞
tsunami,名,津波
sudden,形,突然の、不意の
news,名,ニュース、知らせ
shortly,副,まもなく、すぐに
corner,名,コーナー
exchange,名,交流、やりとり
program,名,プログラム、計画、事業
support,動,…を支援する、応援する
ordinary,形,ふつうの
crisis,名,危機、難局、（病気の）峠
be caught in,連, …に巻き込まれる
bring ... together,連,…を団結させる
keep on ...ing,連,…し続ける
no longer,連,もはや…ない
no longer,連,もはや…ない
every year,連,毎年
That’s very kind of you.,連,どうもご親切にありがとうございます。
would like ... to 〜,連,would like ... to 〜 …に～してほしい（のですが）
internet,名,インターネット
person,名,人、個人
image,名,像、肖像、印象
print,動,…を印刷する
leader,名,指導者、リーダー
greatly,副,おおいに、非常に
born,動,be born 生まれる
national,形,国の
non-violence,名,非暴力
on the internet,連,インターネットで
note,名,紙幣
independence,名,独立
violence,名,暴力
fight,動,たたかう
protest,動,抗議する
tough,形,困難な、難しい
human rights,連,人権
go on ,連,…をする、始める
little,形,ほとんど（ない）
more,代,もっと多くのもの［こと］
right,名,権利
lawyer,名,弁護士
British,形,イギリス［英国］の、イギリス人の
discrimination,名,差別
freely,副,自由に
sidewalk,名,歩道
accept,動,…を受け入れる
law,名,法律、法
unfair,形,不公平な、不当な
stood,動,standの過去形
arrest,動,…を逮捕する
jail,名,刑務所
non-violent,形,非暴力の
effective,形,効果的な
at that [the] time,連,その当時（には）
go out ,連,外へ出る
even if,連,たとえ…だとしても
British,名,イギリス［英国］人
even,副,［比較級を強調して］さらにいっそう
lead,動,…を導く、…を先導する
movement,名,（政治的・社会的な）運動
rule,名,支配、統治
sent,動,sendの過去分詞
colony,名,植民地
produce,動,…を生産する、生じる
tax,名,税、税金
expensive,形,高価な、費用のかかる
follower,名,信奉者、支持者
thousand,名/形,"1,000（の）"
kilometer,名,キロメートル
march,名,行進、マーチ
peaceful,形,平和な
legacy,名,遺産
in those days,連,そのころは、当時は
thousands of,連,何千もの、多くの
way to,連,…する方法
fight,名,たたかい
protest,名,抗議（運動）
put,動,（罪・責任など）を課す
spread,動,広がる、広まる
text,動,携帯電話などでメッセージをおくる
ban,動,…を禁止する
electronic,形,電子の
device,名,装置
cross,動,…を横切る、渡る
decision,名,決定、結論
bother,名,面倒
common,形,ふつうの、よくある、共通の
choose to,連,…することに決める
any,形,［主に肯定文で］どんな…でも
report,名,報告、レポート
position,名,位置、ポジション
setter,名,（バレーボールの）セッター
chance,名,機会、チャンス
spiker,名,（バレーボールの）スパイカー
teammate,名,チームの仲間、チームメイト
get the most out of,連,…を最大限に生かす
more,形,それ以上の、あと…
most,副,［動詞を修飾して］いちばん、最も
move,動,…を感動させる
thought,名,考え、意見
most,代,最多数、最大量、最大限
backpack,名,バックパック
overseas,副,外国へ［で］、海外へ［で］
unused,形,未使用の
supply,名,［suppliesで］必需品
abroad,副,外国に［へ、で］、海外に［へ、で］
donate,動,…を寄付する
this way,連,このように
could,助,canの過去形。【仮定法】…できるだろうに
wish,動,…であればよいのだが
Afghanistan,名,アフガニスタン
definitely,副,もちろん、確かに
so far ,連,今まで（は）、これまで（は）
if,接,【仮定法過去】（あり得ないことだが）もし…ならば
would,助,【仮定法】…だろうに
imagine,動,…を想像する
illiterate,形,読み書きのできない
son,名,息子
daughter,名,娘
ready,形,用意ができて
air,名,空気、空中
service,名,サービス、公的事業
globe,名,［the globeで］地球
connect,動,…を結びつける、つなぐ
border,名,国境
encourage ... to ～,連,…に～するよう促す
most of,連,…の大部分
be ready for,連,…の用意ができている
in the open air,連,屋外で
another,代,もう1つ［1人］、別のもの［人、こと］
most,代,［most of ＋ 名詞で］…の大部分、ほとんど
open,形,開いている、屋根のない
through,前,【原因・手段】…によって、…のために
depend,動,頼る
trade,名,貿易
survival,名,存続、生き残ること
Brazil,名,ブラジル
Thailand,名,タイ
import,動,…を輸入する
quite,副,かなり、相当
coat,名,上着、コート
Asian,形,アジア（人）の
fact,名,現実、事実
sold,動,sellの過去分詞
exception,名,例外
surround,動,…を囲む
daily,形,日常の
relationship,名,関係、結びつき
interdependent,形,相互に依存している
beyond,前,…をこえたところに［へ」
depend on,連,…に頼る
in fact,連,実際に、事実上
most,形,たいていの、大部分の
overseas,名,外国、国外
mini debate,名,ミニディベート
disagree,動,意見が合わない
judge,名,審判員
United States,名,the United States（of America）アメリカ合衆国
variety,名,［a (...) variety of ～で］さまざまな～、いろいろな～、…な種類の～
amazing,形,驚くべき
countryside,名,いなか
seem,動,…のように見える、思われる
for one thing,連,1つには［理由を述べるときに用いる］
eat out,連,外食する
not ... at all,連,少しも…ない
has to,連,…しなければならない
announce,動,…を発表する
winner,名,勝者
debate,名,討論、ディベート
move on,連,（次の課題などへ）移る、進む
we’ll,短,we will
electricity,名,電気、電力
cut,動,cutの過去分詞
happen,動,起こる、生じる
charge,動,…を充電する
chart,名,図表
coal,名,石炭
natural gas,名,天然ガス
relatively,副,比較的
cheap,形,（品物・料金が）安い
furthermore,副,そのうえ、さらに
run out of,連,…を使い果たす
release,動,…を放出する
energy,名,エネルギー
control,動,…を管理する
radiation,名,放射能
handle,動,…を処理する
sunshine,名,日光
wind,名,風
steam,名,蒸気
wave,名,波
renewable,形,再生可能な
dangerous,形,危険な
dam,名,ダム
damage,動,…に損害を与える
progress,動,進歩する
Denmark,名,デンマーク
quarter,名,4分の1
Iceland,名,アイスランド
heat,名,熱
solve,動,…を解決する
nuclear power,連,原子力
nuclear waste,連,核廃棄物
water power,連,水力
wind power,連,風力
power,名,力、能力
Azerbaijan,名,アゼルバイジャン
invent,動,…を発明する
lamp,名,明かり、ランプ
second,名,秒
liter,名,リットル
rainwater,名,雨水
battery,名,電池、バッテリー
sustainable,形,持続可能な
consumer,名,消費者
inventor,名,発明家
power,名,動力、電力
probably,副,十中八九、たぶん
count,動,数える
author,名,著者、作家
Germany,名,ドイツ
art school,名,美術学校
graphic designer,名,グラフィックデザイナー
drawing,名,絵をかくこと
line,名,境界（線）
outside,前,…の外側で［に、へ］
believe,動,…だと思う、信じる
publish,動,…を出版する、発行する
printer,名,印刷工、印刷業者
unusual,形,ふつうでない
think outside the box,連,自由で独創的な考え方をする
come up with,連,（考えなど）を思いつく
so ... that 〜,連,とても…なので～だ
bestseller,名,ベストセラー
worldwide,副,世界中に、世界的に
toy,名,おもちゃ
feature,名,特色、特徴
cow,名,ウシ
deliver,動,…を届ける
reader,名,読者
colorfulness,名,色の鮮やかさ
represent,動,…を象徴する、表現する
colorless,形,無色の
paint,動,…にペンキを塗る、（もの）を…色に塗る
inspire,動,（人）を奮い立たせる
play with,連,…で遊ぶ
inspire ... to 〜,連,～するように…を元気づける、激励する
any,形,［否定文などで］少しの…も（～ない）、何も［だれも］（～ない）
inside,前,…の中に、内部に
stay,動,とどまる、いる
wrong,形,まちがった
until,前,…まで（ずっと）、［否定文で］…までは（～しない）
imagination,名,想像力
gallery,名,美術館
studio,名,アトリエ
theater,名,劇場
fill,動,…を満たす
visitor,名,訪問客、見学者
although,接,…だけれども、…だが、…にもかかわらず
anymore,副,今ではもう…（でない）
spirit,名,精神、心、霊魂、幽霊
unfold,動,（たたんだ物）を広げる、開く
wing,名,羽
pass away,連,亡くなる
fill ... with 〜 ,連,…を～で満たす
not only ... but (also) ～,連,…だけでなく～もまた
built,動,buildの過去形
grow,動,成長する、増加する
hope,名,希望、見こみ
pass,動,なくなる、消える
invite,LR3,…を招待する，招く
TRUE,LR3,本当の，真実の
Alaska,LR3,アラスカ
Shishmaref,LR3,シシュマレフ
in the middle of,LR3,…の真ん中に［の］
for himself,LR3,自分で，独力で
come true,LR3,実現する，本当になる
among,LR3,…の中で［に，を］，…の間で［に，を］
convenience,LR3,便利なこと［もの］
hunt,LR3,…を狩る，狩りをする
meat,LR3,肉
gather,LR3,…を集める，…をつむ
berry,LR3,ベリー
tradition,LR3,伝統
harmoniously,LR3,調和して
understood,LR3,understandの過去形
living,LR3,生きている
share,LR3,…を共有する
Inuit,LR3,イヌイット(の)
Alaskan,LR3,アラスカの
return,LR3,帰る，戻る
photographer,LR3,写真家
camp,LR3,キャンプをする
severe,LR3,厳しい
wild,LR3,野生の
freedom,LR3,自由
playful,LR3,楽しげな，陽気な
scene,LR3,景色，光景
kill,LR3,…を殺す
tundra,LR3,ツンドラ，凍土帯
caribou,LR3,カリブー[北米産のトナカイ。群れとしては複数形もcaribou]
polar bear,LR3,ホッキョクグマ
Kamchatka,LR3,カムチャツカ半島[シベリア東端にある半島]
glacier,LR3,氷河
global warming,LR3,地球温暖化
enough,LR3,十分な，必要なだけの
habitat,LR3,生息地
grow,LR3,①成長する，増加する　②（しだいに）…になる
land,LR3,土地
into,LR3,①【運動・方向】…の中へ[に]　②【質の変化】…に（なる）
rise,LR3,のぼる，上がる，上昇する
slowly,LR3,ゆっくりと，遅く
warm,LR3,あたたかい
twice,LR3,2倍，2度
rest,LR3,残り，その他
Earth,LR3,地球
remind,LR3,…に思い出させる，気づかせる
past,LR3,過去
sea level(s),LR3,海水面，平均海面
Arctic,LR3,北極地方
turn into,LR3,…になる，変わる
twice as … as ～,LR3,～より2倍…
remind … of ～,LR3,…に～を思い出させる
pass on … to ～,LR3,…を～に伝える
fact,U0-S,事実，現実
spoken,U0-S,speakの過去分詞
researcher,U0-S,研究者
believe,U0-S,…だと思う，信じる
increase,U0-S,…を増やす，増大させる
brain,U0-S,頭脳
wide,U0-S,幅の広い，（範囲などが）広い
variety,U0-S,①［a (...) variety of ～で］さまざまな～，いろいろな～，…な種類の～　②変化（に富んでいること）
It is said that ….,U0-S,…であるといわれている。
a … variety of ～,U0-S,さまざまな～，いろいろな～，…な種類の～
title,U1-扉,題名，表題
apply,U1-S1,当てはまる
Paralympic,U1-S1,パラリンピック競技の
somewhere,U1-S1,どこかに［へ，で］
below,U1-S1,下に，下記に［の］
above,U1-S1,上に，上記に［の］
sitting volleyball,U1-S1,シッティングバレーボール
triathlon,U1-S1,トライアスロン
athletics,U1-S1,陸上競技
ever,U1-S2,［疑問文で］今まで，かつて
Paralympic Games,U1-S2,［the Paralympic Games］パラリンピック（身体・知的障がい者の国際スポーツ大会）
been,U1-S2,beの過去分詞
match,U1-S2,試合，競技
athlete,U1-S2,運動選手，アスリート
internet,U1-S2,インターネット
have been to,U1-S2,…に行ったことがある
on TV,U1-S2,テレビで
check … out,U1-S2,…を調査する
check … out,U1-S2,…を調査する
haven’t,U1-S2,#NAME?
I’ve,U1-S2,#NAME?
on the internet,U1-S2,インターネットで
championship,U1-RT1,選手権，優勝
amaze,U1-RT1,…をびっくりさせる
speed,U1-RT1,スピード，速度
amazing,U1-RT1,驚くべき
uncomfortable,U1-RT1,心地よくない
well-known,U1-RT1,有名な
winner,U1-RT1,勝者，受賞者
positive,U1-RT1,肯定の，前向きな
Grand Slam,U1-RT1,グランドスラム
be amazed at,U1-RT1,…に驚かされる
possible,U1-RT2,（物事が）可能な，できる
establish,U1-RT2,…を設立する
user,U1-RT2,使用［利用］者，ユーザー
satisfy,U1-RT2,…を満足させる
ordinary,U1-RT2,ふつうの
custom-made,U1-RT2,注文で作った
sporty,U1-RT2,スポーティーな，走りの軽快な
functional,U1-RT2,実用的な
stylish,U1-RT2,おしゃれな，センスのよい
opinion,U1-RT2,意見，考え
support,U1-RT2,…を支援する，応援する
be satisfied with,U1-RT2,…に満足する
more and more,U1-RT2,ますます（多くの）
decide to,U1-RT1,…しようと決心する
awesome,LW1,すばらしい，最高の
bright,LW1,明るい
horizon,LW1,地平線，水平線
hopeful,LW1,希望を持っている
challenge,LW1,難問
super,LW1,とても，すごく
audience,LW1,聴衆，観客
Justin Thyme,LW1,ジャスティン・タイム[人名]
get over,LW1,…を乗りこえる
write … back,LW1,…に手紙の返事を書く
"All the best,",LW1,万事うまくいきますように［手紙などの結びの言葉］
have never [not] been to,LW1,…に行ったことがない
hope to,LW1,…したいと思う
yet,U2-S1,①［疑問文で］もう，すでに　②［否定文で］まだ，今のところは
read,U2-S1,①readの過去分詞　②readの過去形
sleep,U2-S1,眠る，寝ている
already,U2-S1,すでに，もう
poet,U2-S2,詩人
since,U2-S2,…（して）以来
image,U2-S2,像，肖像，印象
curious,U2-S2,好奇心の強い
Baker,U2-S2,ベーカー[姓]
How long …?,U2-S2,どれくらい長く［長い］
poem,U2-RT1,詩
written,U2-RT1,writeの過去分詞
rhyme,U2-RT1,韻をふむ
seasonal,U2-RT1,季節の
include,U2-RT1,…を含む，含める
rhythm,U2-RT1,リズム，調子
syllable,U2-RT1,音節，シラブル
be different from,U2-RT1,…とはちがっている
you’ve,U2-RT1,#NAME?
become,U2-RT2,becomeの過去分詞
quite,U2-RT2,かなり，相当
less,U2-RT2,もっと少なく，より…でなく
strict,U2-RT2,厳しい
either,U2-RT2,［否定文の文末に用いて］…もまた（～ない）
actually,U2-RT2,実は，本当は
website,U2-RT2,ウェブサイト
pop,U2-RT2,大衆的な
not always,U2-RT2,いつも［必ずしも］…とは限らない
not only … but also ～,U2-RT2,…だけでなく～もまた
so … that ～,U2-RT2,とても…なので～だ
so … that ～,U2-RT2,とても…なので～だ
pop culture,U2-RT2,大衆文化
goodbye,LT1,さようなら
Mike,LT1,マイク[男性名]
feel free to,LT1,遠慮なく…する
we’ve,LT1,#NAME?
protect,U3-扉,…を守る，保護する
endangered,U3-扉,絶滅の危機にさらされている
Red List,U3-扉,[the Red List] レッドリスト
danger,U3-S1,危険（性）
extinction,U3-S1,絶滅
climate,U3-S1,気候
survive,U3-S1,生き残る
condition,U3-S1,状況
be in danger of,U3-S1,…の危険がある，危険にさらされている
cheetah,U3-S2,チーター
IUCN,U3-S2,国際自然保護連合
want … to ～,U3-S2,…が～することを望む，…に～してほしい
let,U3-RT1,（人）に…させる
until,U3-RT1,…まで（ずっと），［否定文で］…までは（～しない）
era,U3-RT1,時代，年代
population,U3-RT1,人口，（動物の）個体数
rapidly,U3-RT1,速く，急速に
feather,U3-RT1,羽
development,U3-RT1,開発
destroy,U3-RT1,…を破壊する
environment,U3-RT1,環境
capture,U3-RT1,…を捕まえる
breed,U3-RT1,…を飼育する，繁殖する
safely,U3-RT1,安全に
die,U3-RT1,死ぬ
government,U3-RT1,政府
fly,U3-RT1,飛ぶ
crested ibis,U3-RT1,トキ
#NAME?,U3-RT1,…生まれの
up until,U3-RT1,…まで
one by one,U3-RT1,1人［1つ］ずつ
one by one,U3-RT1,1人[1つ]ずつ
logging,U3-RT2,伐採
mining,U3-RT2,採鉱，採掘
surprisingly,U3-RT2,驚いたことには
electronic,U3-RT2,電子の
device,U3-RT2,装置
metal,U3-RT2,金属
ecosystem,U3-RT2,生態系
species,U3-RT2,（生物学上の）種［複数形もspecies］
affect,U3-RT2,…に影響を与える
human being,U3-RT2,人間（全体）
relate,U3-RT2,…を（～に）関係させる
Congo,U3-RT2,[the Congo] コンゴ民主共和国[国名]
die out,U3-RT2,絶滅する
relate … to ～,U3-RT2,…を～に関係させる
electronic device,U3-RT2,電子機器
text,LW2,携帯電話などでメッセージをおくる
drive,LW2,運転する
illegal,LW2,違法な
ban,LW2,…を禁止する
law,LW2,法律，法
decision,LW2,決定，結論
effective,LW2,効果的な
bother,LW2,面倒
accident,LW2,事故
Honolulu,LW2,ホノルル
Hawaii,LW2,ハワイ
What about …?,LW2,…についてはどう思いますか。
work on,LW2,…に取り組む，従事する
choose to,LW2,…することに決める
tell … to ～,GfC2,…に～するように言う
report,SA1,報告，レポート
tournament,SA1,トーナメント，選手権大会
corner,SA1,角，隅
beginning,SA1,最初の部分
ending,SA1,（物語などの）終わり，結末
they’ll,SA1,#NAME?
kick,SA1,けること，キック
corner kick,SA1,コーナーキック
lullaby,LR1,子守歌
road,LR1,道路，道
bomb,LR1,爆弾
injure,LR1,…を傷つける
shade,LR1,陰，日陰
dead,LR1,死んだ
weak,LR1,弱い，かすかな
mommy,LR1,お母さん，ママ［momよりは幼い言い方］
cry,LR1,泣く
arm,LR1,腕
real,LR1,本当の，本物の
all right,LR1,だいじょうぶな
tightly,LR1,しっかりと
while,LR1,（少しの）時間，（しばらくの）間
quietly,LR1,静かに，落ち着いて
rose,LR1,riseの過去形
after a while,LR1,しばらくして
nuclear,LR1,核の，原子力の
peace,LR1,平和
cloudless,LR1,雲のない
death,LR1,死
sky,LR1,空，大空
president,LR1,大統領
meant,LR1,meanの過去形
